Year,Country,Origin,Refugees,Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population,Indicator,2016,2017
2010,Serbia and Kosovo (S/RES/1244 (1999)),Tunisia,,1,,,,,,1,Tunisia,,[nan]
2010,Serbia and Kosovo (S/RES/1244 (1999)),Turkey,4,,,,,,,4,Turkey,,[nan]
2010,Serbia and Kosovo (S/RES/1244 (1999)),Uzbekistan,,1,,,,,,1,Uzbekistan,,[nan]
2010,Suriname,Guinea,,1,,,,,,1,Guinea,,[nan]
2010,Suriname,Haiti,,2,,,,,,2,Haiti,,[]
2010,Suriname,Indonesia,,1,,,,,,1,Indonesia,,[]
2010,Suriname,Liberia,,2,,,,,,2,Liberia,,[nan]
2010,Suriname,Sierra Leone,1,,,,,,,1,Sierra Leone,,[nan]
2010,Suriname,United Rep. of Tanzania,,1,,,,,,1,United Rep. of Tanzania,,[]
2010,Slovakia,Afghanistan,135,,,,,,,135,Afghanistan,,['246']
2010,Slovakia,Angola,1,,,,,,,1,Angola,,['24']
2010,Slovakia,Armenia,10,,,,,,,10,Armenia,,['34']
2010,Slovakia,Burundi,1,,,,,,,1,Burundi,,[nan]
2010,Slovakia,Benin,1,,,,,,,1,Benin,,[nan]
2010,Slovakia,Bangladesh,1,,,,,,,1,Bangladesh,,[nan]
2010,Slovakia,Bosnia and Herzegovina,1,,,,,,,1,Bosnia and Herzegovina,,['36']
2010,Slovakia,China,3,,,,,,,3,China,,['5']
2010,Slovakia,C̫te d'Ivoire,3,,,,,,,3,C̫te d'Ivoire,,[nan]
2010,Slovakia,Cameroon,3,,,,,,,3,Cameroon,,['7']
2010,Slovakia,Dem. Rep. of the Congo,8,,,,,,,8,Dem. Rep. of the Congo,,['16']
2010,Slovakia,Congo,7,,,,,,,7,Congo,,[nan]
2010,Slovakia,Cuba,21,,,,,,,21,Cuba,,['40']
2010,Slovakia,Algeria,2,,,,,,,2,Algeria,,[nan]
2010,Slovakia,Egypt,2,,,,,,,2,Egypt,,['5']
2010,Slovakia,Iran (Islamic Rep. of),31,,,,,,,31,Iran (Islamic Rep. of),,['28']
2010,Slovakia,Iraq,92,,,,,,,92,Iraq,,['209']
2010,Slovakia,Kuwait,1,,,,,,,1,Kuwait,,[]
2010,Slovakia,Libya,1,,,,,,,1,Libya,,[nan]
2010,Slovakia,Nigeria,1,,,,,,,1,Nigeria,,[]
2010,Slovakia,Pakistan,5,,,,,,,5,Pakistan,,['6']
2010,Slovakia,Palestinian,8,,,,,,,8,Palestinian,,['7']
2010,Slovakia,Russian Federation,14,,,,,,,14,Russian Federation,,['37']
2010,Slovakia,Sudan,1,,,,,,,1,Sudan,,[nan]
2010,Slovakia,Senegal,1,,,,,,,1,Senegal,,[]
2010,Slovakia,Somalia,37,,,,,,,37,Somalia,,['31']
2010,Slovakia,Serbia and Kosovo (S/RES/1244 (1999)),15,,,,,,,15,Serbia and Kosovo (S/RES/1244 (1999)),,['46']
2010,Slovakia,Slovakia,,,,,,911,,911,Slovakia,,[]
2010,Slovakia,Syrian Arab Rep.,22,,,,,,,22,Syrian Arab Rep.,,['17']
2010,Slovakia,Turkey,1,,,,,,,1,Turkey,,[nan]
2010,Slovakia,Ukraine,17,,,,,,,17,Ukraine,,['23']
2010,Slovakia,Uzbekistan,3,,,,,,,3,Uzbekistan,,[nan]
2010,Slovakia,Viet Nam,1,,,,,,,1,Viet Nam,,['16']
2010,Slovakia,Stateless,9,,,,,,,9,Stateless,,['9']
2010,Slovakia,Various/Unknown,1,267,,,,,,268,Various/Unknown,,[nan]
2010,Slovakia,Yemen,1,,,,,,,1,Yemen,,[]
2010,Slovenia,Afghanistan,6,9,,,,,,15,Afghanistan,,['41']
2010,Slovenia,Albania,1,,,,,,,1,Albania,,[nan]
2010,Slovenia,Burundi,1,,,,,,,1,Burundi,,[]
2010,Slovenia,Bosnia and Herzegovina,142,16,29,,,,,187,Bosnia and Herzegovina,,['8']
2010,Slovenia,Belarus,,3,,,,,,3,Belarus,,[]
2010,Slovenia,Cameroon,3,1,,,,,,4,Cameroon,,[nan]
2010,Slovenia,Dem. Rep. of the Congo,3,1,,,,,,4,Dem. Rep. of the Congo,,['8']
2010,Slovenia,Algeria,,3,,,,,,3,Algeria,,[nan]
2010,Slovenia,Eritrea,3,1,,,,,,4,Eritrea,,['56']
2010,Slovenia,Western Sahara,,4,,,,,,4,Western Sahara,,[]
2010,Slovenia,Ethiopia,1,,,,,,,1,Ethiopia,,[]
2010,Slovenia,Georgia,1,1,,,,,,2,Georgia,,[]
2010,Slovenia,Ghana,,2,,,,,,2,Ghana,,[]
2010,Slovenia,Guinea,,1,,,,,,1,Guinea,,[nan]
2010,Slovenia,Croatia,,4,,,,,,4,Croatia,,[]
2010,Slovenia,India,,1,,,,,,1,India,,[nan]
2010,Slovenia,Iran (Islamic Rep. of),4,9,,,,,,13,Iran (Islamic Rep. of),,['60']
2010,Slovenia,Iraq,9,2,,,,,,11,Iraq,,['39']
2010,Slovenia,Kazakhstan,5,,,,,,,5,Kazakhstan,,['19']
2010,Slovenia,Kyrgyzstan,,1,,,,,,1,Kyrgyzstan,,[]
2010,Slovenia,Liberia,13,,,,,,,13,Liberia,,[]
2010,Slovenia,Sri Lanka,1,,,,,,,1,Sri Lanka,,[]
2010,Slovenia,Morocco,,1,,,,,,1,Morocco,,[nan]
2010,Slovenia,The former Yugoslav Republic of Macedonia,2,,,,,,,2,The former Yugoslav Republic of Macedonia,,[]
2010,Slovenia,Mongolia,,1,,,,,,1,Mongolia,,[]
2010,Slovenia,Nigeria,3,12,,,,,,15,Nigeria,,[nan]
2010,Slovenia,Pakistan,,2,,,,,,2,Pakistan,,[nan]
2010,Slovenia,Palestinian,,1,,,,,,1,Palestinian,,['11']
2010,Slovenia,Russian Federation,1,6,,,,,,7,Russian Federation,,['15']
2010,Slovenia,Sudan,89,3,,,,,,92,Sudan,,['6']
2010,Slovenia,Sierra Leone,7,,,,,,,7,Sierra Leone,,[nan]
2010,Slovenia,Somalia,9,4,,,,,,13,Somalia,,['48']
2010,Slovenia,Serbia and Kosovo (S/RES/1244 (1999)),5,20,,,,,,25,Serbia and Kosovo (S/RES/1244 (1999)),,['65']
2010,Slovenia,Slovenia,,,,,,4090,,4090,Slovenia,,[]
2010,Slovenia,Tajikistan,,2,,,,,,2,Tajikistan,,[]
2010,Slovenia,Turkey,,10,,,,,,10,Turkey,,[nan]
2010,Slovenia,Uzbekistan,5,,,,,,,5,Uzbekistan,,[nan]
2010,Sweden,Afghanistan,4150,1708,,,,,,5858,Afghanistan,,['25645']
2010,Sweden,Angola,108,25,,,,,,133,Angola,,['38']
2010,Sweden,Albania,166,39,,,,,,205,Albania,,['329']
2010,Sweden,Argentina,4,2,,,,,,6,Argentina,,[nan]
2010,Sweden,Armenia,599,242,,,,,,841,Armenia,,['474']
2010,Sweden,Australia,1,,,,,,,1,Australia,,[nan]
2010,Sweden,Azerbaijan,781,364,,,,,,1145,Azerbaijan,,['685']
2010,Sweden,Burundi,1292,25,,,,,,1317,Burundi,,['200']
2010,Sweden,Belgium,15,,,,,,,15,Belgium,,[nan]
2010,Sweden,Benin,5,12,,,,,,17,Benin,,['5']
2010,Sweden,Burkina Faso,3,3,,,,,,6,Burkina Faso,,[nan]
2010,Sweden,Bangladesh,285,112,,,,,,397,Bangladesh,,['229']
2010,Sweden,Bulgaria,29,7,,,,,,36,Bulgaria,,['16']
2010,Sweden,Bosnia and Herzegovina,2341,78,201,,,,,2620,Bosnia and Herzegovina,,['160']
2010,Sweden,Belarus,209,245,,,,,,454,Belarus,,['134']
2010,Sweden,Bolivia (Plurinational State of),49,22,,,,,,71,Bolivia (Plurinational State of),,['64']
2010,Sweden,Brazil,1,1,,,,,,2,Brazil,,['8']
2010,Sweden,Bhutan,9,1,,,,,,10,Bhutan,,['8']
2010,Sweden,Botswana,,3,,,,,,3,Botswana,,[nan]
2010,Sweden,Canada,1,,,,,,,1,Canada,,[nan]
2010,Sweden,Chile,42,7,,,,,,49,Chile,,['19']
2010,Sweden,China,148,91,,,,,,239,China,,['282']
2010,Sweden,C̫te d'Ivoire,46,19,,,,,,65,C̫te d'Ivoire,,['61']
2010,Sweden,Cameroon,58,23,,,,,,81,Cameroon,,['152']
2010,Sweden,Dem. Rep. of the Congo,240,87,,,,,,327,Dem. Rep. of the Congo,,['324']
2010,Sweden,Congo,52,9,,,,,,61,Congo,,['50']
2010,Sweden,Colombia,186,17,,,,,,203,Colombia,,['30']
2010,Sweden,Cuba,91,17,,,,,,108,Cuba,,['60']
2010,Sweden,Czech Rep.,1,,,,,,,1,Czech Rep.,,[nan]
2010,Sweden,Germany,5,,,,,,,5,Germany,,['5']
2010,Sweden,Djibouti,,5,,,,,,5,Djibouti,,['21']
2010,Sweden,Denmark,1,2,,,,,,3,Denmark,,[nan]
2010,Sweden,Algeria,86,135,,,,,,221,Algeria,,['66']
2010,Sweden,Ecuador,60,4,,,,,,64,Ecuador,,['8']
2010,Sweden,Egypt,112,146,,,,,,258,Egypt,,['347']
2010,Sweden,Eritrea,3921,580,,,,,,4501,Eritrea,,['27153']
2010,Sweden,Spain,1,,,,,,,1,Spain,,[nan]
2010,Sweden,Estonia,8,,,,,,,8,Estonia,,[nan]
2010,Sweden,Ethiopia,326,168,,,,,,494,Ethiopia,,['2005']
2010,Sweden,France,,1,,,,,,1,France,,[nan]
2010,Sweden,United Kingdom,4,,,,,,,4,United Kingdom,,['7']
2010,Sweden,Georgia,173,166,,,,,,339,Georgia,,['133']
2010,Sweden,Ghana,8,38,,,,,,46,Ghana,,['56']
2010,Sweden,Guinea,46,34,,,,,,80,Guinea,,['80']
2010,Sweden,Gambia,27,43,,,,,,70,Gambia,,['147']
2010,Sweden,Guinea-Bissau,4,,,,,,,4,Guinea-Bissau,,['7']
2010,Sweden,Equatorial Guinea,3,1,,,,,,4,Equatorial Guinea,,[nan]
2010,Sweden,Greece,3,,,,,,,3,Greece,,['18']
2010,Sweden,Guatemala,7,,,,,,,7,Guatemala,,['9']
2010,Sweden,Honduras,16,9,,,,,,25,Honduras,,['11']
2010,Sweden,Croatia,84,15,,,,,,99,Croatia,,[nan]
2010,Sweden,Haiti,,3,,,,,,3,Haiti,,[nan]
2010,Sweden,Hungary,1,2,,,,,,3,Hungary,,[nan]
2010,Sweden,Indonesia,6,1,,,,,,7,Indonesia,,['15']
2010,Sweden,India,58,41,,,,,,99,India,,['29']
2010,Sweden,Iran (Islamic Rep. of),2360,1270,,,,,,3630,Iran (Islamic Rep. of),,['5867']
2010,Sweden,Iraq,29013,1580,,,,,,30593,Iraq,,['15524']
2010,Sweden,Israel,32,21,,,,,,53,Israel,,['33']
2010,Sweden,Italy,2,5,,,,,,7,Italy,,[nan]
2010,Sweden,Jamaica,,1,,,,,,1,Jamaica,,[nan]
2010,Sweden,Jordan,328,88,,,,,,416,Jordan,,['344']
2010,Sweden,Kazakhstan,377,282,,,,,,659,Kazakhstan,,['266']
2010,Sweden,Kenya,54,113,,,,,,167,Kenya,,['93']
2010,Sweden,Kyrgyzstan,150,442,,,,,,592,Kyrgyzstan,,['177']
2010,Sweden,Cambodia,7,,,,,,,7,Cambodia,,[nan]
2010,Sweden,Kiribati,31,,,,,,,31,Kiribati,,[]
2010,Sweden,Rep. of Korea,11,1,,,,,,12,Rep. of Korea,,['6']
2010,Sweden,Kuwait,5,9,,,,,,14,Kuwait,,['23']
2010,Sweden,Lao People's Dem. Rep.,7,,,,,,,7,Lao People's Dem. Rep.,,[]
2010,Sweden,Lebanon,454,164,,,,,,618,Lebanon,,['534']
2010,Sweden,Liberia,31,16,,,,,,47,Liberia,,['13']
2010,Sweden,Libya,213,246,,,,,,459,Libya,,['404']
2010,Sweden,Sri Lanka,47,45,,,,,,92,Sri Lanka,,['48']
2010,Sweden,Lithuania,12,7,,,,,,19,Lithuania,,[nan]
2010,Sweden,Latvia,14,,,,,,,14,Latvia,,['8']
2010,Sweden,Morocco,55,50,,,,,,105,Morocco,,['230']
2010,Sweden,Rep. of Moldova,16,,,,,,,16,Rep. of Moldova,,['8']
2010,Sweden,Madagascar,,1,,,,,,1,Madagascar,,[]
2010,Sweden,Mexico,,1,,,,,,1,Mexico,,[nan]
2010,Sweden,The former Yugoslav Republic of Macedonia,130,327,,,,,,457,The former Yugoslav Republic of Macedonia,,['55']
2010,Sweden,Mali,5,5,,,,,,10,Mali,,['24']
2010,Sweden,Myanmar,46,4,,,,,,50,Myanmar,,['16']
2010,Sweden,Montenegro,42,25,,,,,,67,Montenegro,,['40']
2010,Sweden,Mongolia,125,629,,,,,,754,Mongolia,,['315']
2010,Sweden,Mozambique,1,,,,,,,1,Mozambique,,[nan]
2010,Sweden,Mauritania,9,10,,,,,,19,Mauritania,,['12']
2010,Sweden,Malawi,,2,,,,,,2,Malawi,,[nan]
2010,Sweden,Malaysia,5,1,,,,,,6,Malaysia,,['8']
2010,Sweden,Niger,2,7,,,,,,9,Niger,,[nan]
2010,Sweden,Nigeria,124,225,,,,,,349,Nigeria,,['510']
2010,Sweden,Nicaragua,7,17,,,,,,24,Nicaragua,,['9']
2010,Sweden,Netherlands,4,,,,,,,4,Netherlands,,[nan]
2010,Sweden,Norway,2,,,,,,,2,Norway,,[nan]
2010,Sweden,Nepal,19,26,,,,,,45,Nepal,,['19']
2010,Sweden,Pakistan,186,120,,,,,,306,Pakistan,,['461']
2010,Sweden,Panama,,1,,,,,,1,Panama,,[]
2010,Sweden,Peru,82,6,,,,,,88,Peru,,['11']
2010,Sweden,Philippines,38,4,,,,,,42,Philippines,,['7']
2010,Sweden,Poland,14,,,,,,,14,Poland,,[nan]
2010,Sweden,Dem. People's Rep. of Korea,8,11,,,,,,19,Dem. People's Rep. of Korea,,['5']
2010,Sweden,Paraguay,,3,,,,,,3,Paraguay,,[nan]
2010,Sweden,Romania,38,4,,,,,,42,Romania,,['63']
2010,Sweden,Russian Federation,1739,767,,,,,,2506,Russian Federation,,['1628']
2010,Sweden,Rwanda,48,7,,,,,,55,Rwanda,,['38']
2010,Sweden,Saudi Arabia,3,9,,,,,,12,Saudi Arabia,,['46']
2010,Sweden,Sudan,209,69,,,,,,278,Sudan,,['841']
2010,Sweden,Senegal,5,13,,,,,,18,Senegal,,['45']
2010,Sweden,Singapore,2,,,,,,,2,Singapore,,[]
2010,Sweden,Sierra Leone,42,21,,,,,,63,Sierra Leone,,['69']
2010,Sweden,El Salvador,29,31,,,,,,60,El Salvador,,['78']
2010,Sweden,Somalia,15238,1553,,,,,,16791,Somalia,,['21973']
2010,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),6848,2824,,,,,,9672,Serbia and Kosovo (S/RES/1244 (1999)),,['1455']
2010,Sweden,Slovakia,6,,,,,,,6,Slovakia,,['6']
2010,Sweden,Slovenia,1,,,,,,,1,Slovenia,,[]
2010,Sweden,Sweden,,3,,,,9344,,9347,Sweden,,[]
2010,Sweden,Syrian Arab Rep.,1169,371,,,,,,1540,Syrian Arab Rep.,,['103614']
2010,Sweden,Chad,8,3,,,,,,11,Chad,,['19']
2010,Sweden,Togo,13,8,,,,,,21,Togo,,['7']
2010,Sweden,Thailand,18,6,,,,,,24,Thailand,,['8']
2010,Sweden,Tajikistan,45,47,,,,,,92,Tajikistan,,['58']
2010,Sweden,Turkmenistan,62,12,,,,,,74,Turkmenistan,,['13']
2010,Sweden,Tunisia,47,29,,,,,,76,Tunisia,,['55']
2010,Sweden,Turkey,627,198,,,,,,825,Turkey,,['270']
2010,Sweden,United Rep. of Tanzania,14,15,,,,,,29,United Rep. of Tanzania,,['40']
2010,Sweden,Uganda,66,69,,,,,,135,Uganda,,['669']
2010,Sweden,Ukraine,140,111,,,,,,251,Ukraine,,['208']
2010,Sweden,Uruguay,2,,,,,,,2,Uruguay,,[]
2010,Sweden,United States of America,11,2,,,,,,13,United States of America,,['20']
2010,Sweden,Uzbekistan,1413,321,,,,,,1734,Uzbekistan,,['616']
2010,Sweden,Venezuela (Bolivarian Republic of),6,6,,,,,,12,Venezuela (Bolivarian Republic of),,['6']
2010,Sweden,Viet Nam,103,110,,,,,,213,Viet Nam,,['68']
2010,Sweden,Vanuatu,,1,,,,,,1,Vanuatu,,[]
2010,Sweden,Stateless,3858,831,,,,,,4689,Stateless,,['22072']
2010,Sweden,Various/Unknown,666,721,,,,,,1387,Various/Unknown,,['622']
2010,Sweden,Yemen,178,143,,,,,,321,Yemen,,['1099']
2010,Sweden,South Africa,,7,,,,,,7,South Africa,,[nan]
2010,Sweden,Zambia,2,,,,,,,2,Zambia,,['11']
2010,Sweden,Zimbabwe,33,5,,,,,,38,Zimbabwe,,['24']
2010,Swaziland,Angola,95,,,,,,,95,Angola,,['11']
2010,Swaziland,Burundi,170,,,,,,,170,Burundi,,['160']
2010,Swaziland,Dem. Rep. of the Congo,126,,,,,,,126,Dem. Rep. of the Congo,,['355']
2010,Swaziland,Congo,56,,,,,,,56,Congo,,[nan]
2010,Swaziland,Ethiopia,24,,,,,,,24,Ethiopia,,[nan]
2010,Swaziland,Kenya,1,,,,,,,1,Kenya,,[nan]
2010,Swaziland,Liberia,36,,,,,,,36,Liberia,,[nan]
2010,Swaziland,Sri Lanka,17,,,,,,,17,Sri Lanka,,[nan]
2010,Swaziland,Nigeria,1,,,,,,,1,Nigeria,,[nan]
2010,Swaziland,Rwanda,108,,,,,,,108,Rwanda,,['153']
2010,Swaziland,Sierra Leone,13,,,,,,,13,Sierra Leone,,[]
2010,Swaziland,Somalia,69,,,,,,,69,Somalia,,['73']
2010,Swaziland,Uganda,43,,,,,,,43,Uganda,,['6']
2010,Sint Maarten (Dutch part),Guyana,1,,,,,,,1,Guyana,,[]
2010,Sint Maarten (Dutch part),Iran (Islamic Rep. of),,3,,,,,,3,Iran (Islamic Rep. of),,['5']
2010,Syrian Arab Rep.,Afghanistan,1611,541,,,,,,2152,Afghanistan,,['1221']
2010,Syrian Arab Rep.,United Arab Emirates,,1,,,,,,1,United Arab Emirates,,[]
2010,Syrian Arab Rep.,Burundi,6,,,,,,,6,Burundi,,[]
2010,Syrian Arab Rep.,Burkina Faso,,3,,,,,,3,Burkina Faso,,[nan]
2010,Syrian Arab Rep.,Bulgaria,1,,,,,,,1,Bulgaria,,[]
2010,Syrian Arab Rep.,Bosnia and Herzegovina,,4,,,,,,4,Bosnia and Herzegovina,,[]
2010,Syrian Arab Rep.,C̫te d'Ivoire,3,4,,,,,,7,C̫te d'Ivoire,,[nan]
2010,Syrian Arab Rep.,Cameroon,2,1,,,,,,3,Cameroon,,[]
2010,Syrian Arab Rep.,Dem. Rep. of the Congo,9,2,,,,,,11,Dem. Rep. of the Congo,,[nan]
2010,Syrian Arab Rep.,Congo,,4,,,,,,4,Congo,,[nan]
2010,Syrian Arab Rep.,Colombia,,4,,,,,,4,Colombia,,[]
2010,Syrian Arab Rep.,Djibouti,2,,,,,,,2,Djibouti,,[]
2010,Syrian Arab Rep.,Algeria,1,20,,,,,,21,Algeria,,['5']
2010,Syrian Arab Rep.,Egypt,14,28,,,,,,42,Egypt,,['35']
2010,Syrian Arab Rep.,Eritrea,60,20,,,,,,80,Eritrea,,['23']
2010,Syrian Arab Rep.,Ethiopia,7,47,,,,,,54,Ethiopia,,['19']
2010,Syrian Arab Rep.,Guinea,,1,,,,,,1,Guinea,,['51']
2010,Syrian Arab Rep.,Indonesia,,1,,,,,,1,Indonesia,,[]
2010,Syrian Arab Rep.,India,,1,,,,,,1,India,,[nan]
2010,Syrian Arab Rep.,Iran (Islamic Rep. of),196,130,,,,,,326,Iran (Islamic Rep. of),,['45']
2010,Syrian Arab Rep.,Iraq,1000000,623,194,,,,,1000817,Iraq,,['16325']
2010,Syrian Arab Rep.,Jordan,49,28,,,,,,77,Jordan,,['25']
2010,Syrian Arab Rep.,Kenya,,1,,,,,,1,Kenya,,[]
2010,Syrian Arab Rep.,Kuwait,3,1,,,,,,4,Kuwait,,['5']
2010,Syrian Arab Rep.,Lebanon,18,2,,,,,,20,Lebanon,,['24']
2010,Syrian Arab Rep.,Libya,3,5,,,,,,8,Libya,,['14']
2010,Syrian Arab Rep.,Morocco,4,5,,,,,,9,Morocco,,['6']
2010,Syrian Arab Rep.,Mauritania,1,1,,,,,,2,Mauritania,,[]
2010,Syrian Arab Rep.,Pakistan,11,41,,,,,,52,Pakistan,,['173']
2010,Syrian Arab Rep.,Palestinian,33,42,,,,,,75,Palestinian,,[nan]
2010,Syrian Arab Rep.,Russian Federation,3,4,,,,,,7,Russian Federation,,[]
2010,Syrian Arab Rep.,Saudi Arabia,4,1,,,,,,5,Saudi Arabia,,['11']
2010,Syrian Arab Rep.,Sudan,539,395,,,,,,934,Sudan,,['762']
2010,Syrian Arab Rep.,Sierra Leone,1,2,,,,,,3,Sierra Leone,,['19']
2010,Syrian Arab Rep.,Somalia,2762,338,,,,,,3100,Somalia,,['404']
2010,Syrian Arab Rep.,Syrian Arab Rep.,,,,,,300000,,300000,Syrian Arab Rep.,,[nan]
2010,Syrian Arab Rep.,Chad,1,8,,,,,,9,Chad,,['8']
2010,Syrian Arab Rep.,Tunisia,2,20,,,,,,22,Tunisia,,[nan]
2010,Syrian Arab Rep.,Turkey,7,,,,,,,7,Turkey,,['7']
2010,Syrian Arab Rep.,Uzbekistan,,5,,,,,,5,Uzbekistan,,[]
2010,Syrian Arab Rep.,Stateless,61,24,,,,,,85,Stateless,,[nan]
2010,Syrian Arab Rep.,Yemen,58,88,,,,,,146,Yemen,,['123']
2010,Chad,Afghanistan,1,,,,,,,1,Afghanistan,,[nan]
2010,Chad,Central African Rep.,69428,3,,,,,,69431,Central African Rep.,,['76653']
2010,Chad,C̫te d'Ivoire,3,1,,,,,,4,C̫te d'Ivoire,,[nan]
2010,Chad,Cameroon,5,9,,,,,,14,Cameroon,,['11']
2010,Chad,Dem. Rep. of the Congo,207,74,,,,,,281,Dem. Rep. of the Congo,,['316']
2010,Chad,Congo,6,1,,,,,,7,Congo,,['9']
2010,Chad,Ethiopia,1,,,,,,,1,Ethiopia,,['13']
2010,Chad,Guinea,1,2,,,,,,3,Guinea,,[]
2010,Chad,Liberia,2,,,,,,,2,Liberia,,[nan]
2010,Chad,Morocco,,1,,,,,,1,Morocco,,[]
2010,Chad,Niger,1,,,,,,,1,Niger,,['495']
2010,Chad,Nigeria,,1,,,,,,1,Nigeria,,['9541']
2010,Chad,Rwanda,14,1,,,,,,15,Rwanda,,['17']
2010,Chad,Sudan,278257,3,4000,,,,,282260,Sudan,,['324327']
2010,Chad,Senegal,,2,,,,,,2,Senegal,,[]
2010,Chad,Somalia,9,12,,,,,,21,Somalia,,['10']
2010,Chad,Syrian Arab Rep.,1,,,,,,,1,Syrian Arab Rep.,,['39']
2010,Chad,Chad,,,,131000.0,50000.0,,,181000,Chad,,[nan]
2010,Chad,Togo,1,,,,,,,1,Togo,,[nan]
2010,Chad,Yemen,2,,,,,,,2,Yemen,,[nan]
2010,Togo,Burundi,9,,,,,,,9,Burundi,,[nan]
2010,Togo,Central African Rep.,11,2,,,,,,13,Central African Rep.,,['349']
2010,Togo,C̫te d'Ivoire,66,44,5,,,,,115,C̫te d'Ivoire,,['1991']
2010,Togo,Cameroon,,1,,,,,,1,Cameroon,,[nan]
2010,Togo,Dem. Rep. of the Congo,76,82,,,,,,158,Dem. Rep. of the Congo,,['99']
2010,Togo,Congo,20,8,,,,,,28,Congo,,['27']
2010,Togo,Ghana,13575,,,,,,,13575,Ghana,,['9695']
2010,Togo,Guinea,,2,,,,,,2,Guinea,,[]
2010,Togo,Iran (Islamic Rep. of),1,,,,,,,1,Iran (Islamic Rep. of),,[]
2010,Togo,Iraq,3,1,,,,,,4,Iraq,,['5']
2010,Togo,Liberia,6,2,,,,,,8,Liberia,,[nan]
2010,Togo,Sri Lanka,3,1,,,,,,4,Sri Lanka,,[nan]
2010,Togo,Nigeria,18,,,,,,,18,Nigeria,,['8']
2010,Togo,Rwanda,245,4,,,,,,249,Rwanda,,['137']
2010,Togo,Sudan,2,,,,,,,2,Sudan,,[nan]
2010,Togo,Sierra Leone,,1,,,,,,1,Sierra Leone,,[nan]
2010,Togo,Somalia,1,,,,,,,1,Somalia,,[nan]
2010,Togo,Chad,15,3,,,,,,18,Chad,,['18']
2010,Thailand,Afghanistan,1,,,,,,,1,Afghanistan,,['88']
2010,Thailand,Burundi,,1,,,,,,1,Burundi,,[nan]
2010,Thailand,Bangladesh,,7,,,,,,7,Bangladesh,,[nan]
2010,Thailand,China,61,85,,,,,,146,China,,['179']
2010,Thailand,C̫te d'Ivoire,15,5,,,,,,20,C̫te d'Ivoire,,['16']
2010,Thailand,Cameroon,,3,,,,,,3,Cameroon,,[nan]
2010,Thailand,Dem. Rep. of the Congo,15,58,,,,,,73,Dem. Rep. of the Congo,,['33']
2010,Thailand,Djibouti,,2,,,,,,2,Djibouti,,[]
2010,Thailand,Algeria,,1,,,,,,1,Algeria,,[]
2010,Thailand,Egypt,,1,,,,,,1,Egypt,,['16']
2010,Thailand,Ethiopia,2,4,,,,,,6,Ethiopia,,['13']
2010,Thailand,Ghana,,1,,,,,,1,Ghana,,[]
2010,Thailand,Guinea,,19,,,,,,19,Guinea,,[nan]
2010,Thailand,Haiti,,1,,,,,,1,Haiti,,[]
2010,Thailand,India,,3,,,,,,3,India,,[nan]
2010,Thailand,Iran (Islamic Rep. of),13,28,,,,,,41,Iran (Islamic Rep. of),,['57']
2010,Thailand,Iraq,76,27,,,,,,103,Iraq,,['305']
2010,Thailand,Jordan,,1,,,,,,1,Jordan,,[nan]
2010,Thailand,Kenya,,1,,,,,,1,Kenya,,[]
2010,Thailand,Cambodia,30,52,,,,,,82,Cambodia,,['166']
2010,Thailand,Kuwait,,5,,,,,,5,Kuwait,,[nan]
2010,Thailand,Lao People's Dem. Rep.,149,8,,,,,,157,Lao People's Dem. Rep.,,[nan]
2010,Thailand,Liberia,1,17,,,,,,18,Liberia,,[nan]
2010,Thailand,Sri Lanka,350,364,,,,,,714,Sri Lanka,,['156']
2010,Thailand,Myanmar,95718,8962,,,,,,104680,Myanmar,,['99982']
2010,Thailand,Nigeria,,4,,,,,,4,Nigeria,,[nan]
2010,Thailand,Nepal,17,6,,,,,,23,Nepal,,['11']
2010,Thailand,Pakistan,60,395,,,,,,455,Pakistan,,['2075']
2010,Thailand,Palestinian,14,4,,,,,,18,Palestinian,,['413']
2010,Thailand,Rwanda,4,,,,,,,4,Rwanda,,[]
2010,Thailand,Saudi Arabia,1,1,,,,,,2,Saudi Arabia,,[nan]
2010,Thailand,Sudan,1,2,,,,,,3,Sudan,,['14']
2010,Thailand,Sierra Leone,,4,,,,,,4,Sierra Leone,,[]
2010,Thailand,Somalia,122,17,,,,,,139,Somalia,,['223']
2010,Thailand,Syrian Arab Rep.,,1,,,,,,1,Syrian Arab Rep.,,['327']
2010,Thailand,Chad,,1,,,,,,1,Chad,,[]
2010,Thailand,Togo,1,1,,,,,,2,Togo,,['5']
2010,Thailand,Thailand,,,,,,542505,,542505,Thailand,,[]
2010,Thailand,Turkey,1,1,,,,,,2,Turkey,,[nan]
2010,Thailand,Uganda,,6,,,,,,6,Uganda,,[]
2010,Thailand,Uzbekistan,,1,,,,,,1,Uzbekistan,,[nan]
2010,Thailand,Viet Nam,21,149,,,,,,170,Viet Nam,,['450']
2010,Thailand,Stateless,1,,,,,,,1,Stateless,,[nan]
2010,Thailand,Yemen,,1,,,,,,1,Yemen,,['40']
2010,Thailand,Zimbabwe,1,,,,,,,1,Zimbabwe,,['8']
2010,Tajikistan,Afghanistan,3126,1607,38,,,,,4771,Afghanistan,,['2516']
